date,Discharge(cumecs)
1/9/1992 0:00,10.093
1/10/1992 0:00,7.152
1/11/1992 0:00,12.394
1/12/1992 0:00,2.013
1/1/1993 0:00,2.365
1/2/1993 0:00,2.993
1/3/1993 0:00,2.518
1/4/1993 0:00,1.852
1/5/1993 0:00,3.907
1/6/1993 0:00,17.902
1/7/1993 0:00,29.446
1/8/1993 0:00,37.204
1/9/1993 0:00,10.986
1/10/1993 0:00,3.844
1/11/1993 0:00,2.968
1/12/1993 0:00,2.377
1/1/1994 0:00,2.093
1/2/1994 0:00,1.671
1/3/1994 0:00,2.454
1/4/1994 0:00,2.099
1/5/1994 0:00,2.205
1/6/1994 0:00,2.772
1/7/1994 0:00,56.224
1/8/1994 0:00,12.516
1/9/1994 0:00,4.822
1/10/1994 0:00,9.244
1/11/1994 0:00,1.559
1/12/1994 0:00,1.793
1/1/1995 0:00,2.602
1/2/1995 0:00,1.47
1/3/1995 0:00,5.132
1/4/1995 0:00,3.165
1/5/1995 0:00,0.696
1/6/1995 0:00,1.333
1/7/1995 0:00,26.261
1/8/1995 0:00,32.257
1/9/1995 0:00,9.76
1/10/1995 0:00,5.065
1/11/1995 0:00,7.178
1/12/1995 0:00,2.41
1/1/1996 0:00,3.895
1/2/1996 0:00,1.986
1/3/1996 0:00,1.227
1/4/1996 0:00,1.532
1/5/1996 0:00,0.738
1/6/1996 0:00,14.643
1/7/1996 0:00,23.209
1/8/1996 0:00,9.129
1/9/1996 0:00,13.651
1/10/1996 0:00,27.107
1/11/1996 0:00,7.017
1/12/1996 0:00,7.229
1/1/1997 0:00,9.222
1/2/1997 0:00,2.876
1/3/1997 0:00,1.757
1/4/1997 0:00,1.214
1/5/1997 0:00,0.996
1/6/1997 0:00,3.034
1/7/1997 0:00,31.412
1/8/1997 0:00,7.346
1/9/1997 0:00,40.554
1/10/1997 0:00,2.939
1/11/1997 0:00,1.593
1/12/1997 0:00,1.673
1/1/1998 0:00,1.772
1/2/1998 0:00,2.017
1/3/1998 0:00,2.436
1/4/1998 0:00,2.171
1/5/1998 0:00,0.64
1/6/1998 0:00,4.045
1/7/1998 0:00,4.644
1/8/1998 0:00,9.235
1/9/1998 0:00,4.591
1/10/1998 0:00,4.884
1/11/1998 0:00,2.093
1/12/1998 0:00,1.589
1/1/1999 0:00,2.403
1/2/1999 0:00,2.915
1/3/1999 0:00,3.034
1/4/1999 0:00,1.778
1/5/1999 0:00,1.138
1/6/1999 0:00,3.949
1/7/1999 0:00,13.025
1/8/1999 0:00,8.522
1/9/1999 0:00,15.231
1/10/1999 0:00,10.946
1/11/1999 0:00,2.466
1/12/1999 0:00,1.785
1/1/2000 0:00,3.252
1/2/2000 0:00,5.321
1/3/2000 0:00,2.757
1/4/2000 0:00,3.004
1/5/2000 0:00,2.013
1/6/2000 0:00,27.912
1/7/2000 0:00,3.462
1/8/2000 0:00,5.606
1/9/2000 0:00,41.479
1/10/2000 0:00,6.36
1/11/2000 0:00,1.053
1/12/2000 0:00,2.185
1/1/2001 0:00,4.706
1/2/2001 0:00,2.142
1/3/2001 0:00,1.792
1/4/2001 0:00,2.28
1/5/2001 0:00,0.872
1/6/2001 0:00,7.723
1/7/2001 0:00,12.291
1/8/2001 0:00,11.226
1/9/2001 0:00,53.146
1/10/2001 0:00,9.831
1/11/2001 0:00,12.909
1/12/2001 0:00,1.439
1/1/2002 0:00,2.08
1/2/2002 0:00,2.886
1/3/2002 0:00,3.315
1/4/2002 0:00,1.676
1/5/2002 0:00,4.084
1/6/2002 0:00,11.894
1/7/2002 0:00,25.797
1/8/2002 0:00,34.511
1/9/2002 0:00,24.032
1/10/2002 0:00,9.068
1/11/2002 0:00,1.737
1/12/2002 0:00,2.923
1/1/2003 0:00,2.743
1/2/2003 0:00,2.974
1/3/2003 0:00,2.447
1/4/2003 0:00,2.104
1/5/2003 0:00,0.966
1/6/2003 0:00,1.737
1/7/2003 0:00,1.096
1/8/2003 0:00,6.286
1/9/2003 0:00,7.987
1/10/2003 0:00,9.491
1/11/2003 0:00,3.064
1/12/2003 0:00,2.799
1/1/2004 0:00,2.271
1/2/2004 0:00,3.157
1/3/2004 0:00,2.974
1/4/2004 0:00,1.991
1/5/2004 0:00,0.705
1/6/2004 0:00,0.589
1/7/2004 0:00,3.188
1/8/2004 0:00,16
1/9/2004 0:00,5.053
1/10/2004 0:00,2.104
1/11/2004 0:00,2.886
1/12/2004 0:00,1.239
1/1/2005 0:00,2.605
1/2/2005 0:00,12.183
